2023-08-12 20:27:42,232 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:44,794 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:47,056 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:49,334 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:51,260 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:53,752 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': False} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:28:04,292 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_Q', 'D_7'], 'force': None, 'active': True} cards: ['P_Q', 'D_7'] type: <class 'list'>
2023-08-12 20:28:06,528 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_Q', 'D_7'], 'force': None, 'active': False} cards: ['P_Q', 'D_7'] type: <class 'list'>
2023-08-12 20:28:08,892 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_Q', 'D_7'], 'force': None, 'active': False} cards: ['P_Q', 'D_7'] type: <class 'list'>
2023-08-12 20:28:11,251 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_Q', 'D_7'], 'force': None, 'active': False} cards: ['P_Q', 'D_7'] type: <class 'list'>
2023-08-12 20:28:13,652 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_Q', 'D_7'], 'force': None, 'active': False} cards: ['P_Q', 'D_7'] type: <class 'list'>
2023-08-12 20:28:16,028 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_Q', 'D_7'], 'force': None, 'active': False} cards: ['P_Q', 'D_7'] type: <class 'list'>
2023-08-12 20:28:18,394 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_Q', 'D_7'], 'force': None, 'active': False} cards: ['P_Q', 'D_7'] type: <class 'list'>
2023-08-12 20:28:20,792 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_Q', 'D_7'], 'force': None, 'active': False} cards: ['P_Q', 'D_7'] type: <class 'list'>
2023-08-12 20:28:23,200 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_Q', 'D_7'], 'force': None, 'active': False} cards: ['P_Q', 'D_7'] type: <class 'list'>
2023-08-12 20:28:34,552 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
2023-08-12 20:28:36,836 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
2023-08-12 20:28:39,179 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
2023-08-12 20:28:41,329 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
2023-08-12 20:28:43,952 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['P_2', 'D_J'], 'force': None, 'active': True} cards: ['P_2', 'D_J'] type: <class 'list'>
